line	size		transaction item
1	46	:	1 2 6 7 8 10 11 12 13 16 22 26 29 30 32 34 37 39 41 42 43 45 48 49 50 52 53 56 57 58 61 63 67 68 72 74 76 80 82 84 87 88 92 94 99 100 
2	80	:	1 2 4 5 6 8 9 10 13 14 15 17 18 19 20 23 24 25 26 28 29 30 31 32 33 35 36 37 38 39 40 43 44 45 46 47 48 49 50 51 52 53 54 58 59 60 62 63 65 66 67 68 69 70 71 72 73 75 76 77 78 79 80 81 82 83 84 85 86 87 88 91 92 93 94 95 96 98 99 100 
3	27	:	7 13 14 15 18 20 24 28 31 34 41 43 46 48 51 55 57 60 61 62 65 72 85 89 95 96 100 
4	71	:	1 2 3 4 6 8 9 10 11 12 13 16 17 19 20 21 22 24 26 27 28 30 32 34 35 36 37 38 40 42 45 46 47 48 49 50 51 52 53 54 55 58 59 60 61 62 63 64 65 66 67 69 71 76 77 78 82 83 84 85 87 88 89 90 92 93 95 96 97 98 100 
5	80	:	1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 22 24 26 27 28 29 30 31 32 33 34 35 36 37 38 40 42 43 44 45 46 47 48 49 50 51 52 53 56 57 58 59 60 61 62 63 64 65 66 67 68 70 72 74 75 76 77 78 79 80 82 83 85 86 87 88 89 90 92 95 98 99 
6	71	:	4 5 6 7 8 9 11 12 13 14 15 16 17 19 20 22 24 27 28 29 32 33 34 38 39 40 42 43 45 48 49 52 53 54 57 58 59 60 61 62 64 65 66 67 68 71 72 73 74 75 76 77 79 80 81 82 84 85 86 87 88 89 90 91 94 95 96 97 98 99 100 
7	24	:	4 5 6 9 11 19 22 24 29 37 42 45 49 54 58 61 64 66 67 82 83 85 88 89 
8	28	:	6 8 9 11 17 23 24 29 33 46 47 61 62 67 71 72 76 77 78 79 80 82 84 87 88 92 98 100 
9	45	:	1 2 4 5 6 7 10 11 12 13 14 15 16 18 19 25 26 29 30 35 37 38 39 40 44 48 50 52 53 54 58 61 64 65 66 68 69 76 83 88 89 91 93 95 98 
10	52	:	2 5 6 7 10 11 12 13 14 16 17 18 20 21 23 24 29 30 32 39 41 42 43 44 45 46 48 49 54 55 56 57 59 60 61 62 65 66 72 73 74 85 89 91 92 93 94 95 96 97 98 100 
11	45	:	2 6 10 11 12 13 17 19 21 23 24 25 26 32 36 37 39 40 43 44 45 46 47 52 53 54 59 60 63 65 67 68 71 76 78 80 83 84 88 90 91 92 93 99 100 
12	40	:	3 4 6 7 9 10 12 17 19 20 25 26 27 28 29 30 34 36 37 40 42 48 49 51 53 56 57 65 75 77 80 81 82 84 87 91 95 97 99 100 
13	55	:	1 2 5 7 9 10 11 12 13 14 15 16 18 19 24 25 26 27 28 30 34 35 37 38 40 42 44 46 47 48 52 53 58 61 62 65 66 67 69 76 77 78 80 82 84 85 87 88 90 91 93 94 96 99 100 
14	71	:	2 3 5 6 7 14 16 20 21 22 23 24 25 28 31 32 34 36 37 38 39 40 41 43 46 47 48 49 50 51 53 55 56 57 59 60 61 62 63 64 65 66 67 68 69 71 72 73 74 75 76 78 80 81 82 83 84 85 86 87 88 91 92 93 94 95 96 97 98 99 100 
15	46	:	2 5 6 9 11 12 15 18 19 21 23 24 25 28 29 30 38 42 44 45 47 52 54 58 59 60 64 66 67 69 70 71 72 73 74 76 77 78 81 82 88 92 93 94 98 100 
16	25	:	8 9 12 21 30 31 37 39 41 42 44 46 49 50 53 59 66 68 74 80 82 84 85 87 97 
17	17	:	6 13 17 21 24 32 40 43 44 45 53 54 65 76 88 93 99 
18	50	:	1 2 3 7 8 10 11 12 13 15 16 18 19 24 26 27 29 31 32 33 37 38 39 45 50 51 52 53 57 58 60 61 62 63 66 70 74 75 76 82 84 86 88 89 90 93 94 95 97 100 
19	69	:	1 2 3 4 5 6 8 10 11 12 14 15 16 17 18 20 21 22 23 26 27 29 31 32 33 35 36 37 39 40 43 44 45 47 48 49 50 52 53 54 58 59 62 63 65 66 67 69 70 71 72 77 78 79 80 81 82 83 84 85 87 88 90 91 93 94 95 96 100 
20	41	:	1 2 3 6 7 10 13 17 18 19 26 27 31 36 40 43 45 46 47 48 49 51 52 59 60 63 65 75 76 78 80 82 83 84 86 88 90 91 92 95 100 
21	62	:	2 3 5 6 7 8 10 11 12 14 16 17 20 21 22 23 24 25 27 31 36 37 38 40 41 42 43 48 49 51 52 53 54 56 60 63 64 65 66 67 68 69 71 72 73 75 78 79 81 83 84 85 86 87 91 92 93 95 96 97 98 99 
22	53	:	1 2 4 5 11 12 15 16 17 18 20 21 27 28 29 30 31 32 33 34 37 38 39 40 42 43 44 45 46 49 50 51 52 53 54 55 56 57 59 61 63 67 68 72 73 74 80 84 87 92 95 96 99 
23	56	:	1 2 4 7 9 11 12 13 15 16 22 23 24 25 27 30 31 34 37 38 39 42 43 45 46 47 48 49 50 51 53 58 60 61 62 63 64 65 66 67 71 78 80 82 83 84 85 87 88 89 91 92 95 96 99 100 
24	50	:	2 3 5 6 9 11 12 13 14 17 19 20 21 23 24 29 32 36 40 43 44 45 47 48 53 54 55 58 59 61 62 63 64 65 68 69 70 71 73 75 76 78 80 83 84 88 90 93 98 99 
25	65	:	2 6 7 9 12 13 14 17 19 21 23 24 27 28 30 31 32 35 37 38 39 40 42 43 44 45 46 48 49 50 51 53 54 55 56 57 58 59 60 63 65 66 67 68 69 70 72 74 75 76 80 82 83 84 85 86 88 90 91 92 93 96 97 98 99 
26	47	:	2 4 10 12 15 16 17 19 20 23 24 25 27 29 31 32 34 37 38 39 40 43 48 49 51 53 59 60 66 68 71 72 74 77 78 82 85 87 89 90 91 92 94 95 96 99 100 
27	75	:	1 2 3 4 5 6 8 9 10 11 12 13 14 16 18 19 20 21 22 23 24 27 29 30 32 35 36 37 38 39 40 41 42 43 44 45 47 48 49 50 53 54 55 58 60 61 62 63 64 65 66 67 68 69 70 71 73 75 77 78 82 83 84 85 87 88 89 90 92 93 94 96 97 98 100 
28	72	:	2 4 5 6 7 13 14 15 16 17 18 19 21 23 24 26 27 28 29 30 31 32 33 38 39 40 44 45 46 48 49 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 68 69 70 72 73 74 75 76 77 78 80 83 84 85 88 89 90 91 92 93 95 96 97 98 100 
29	26	:	1 2 3 5 6 7 13 18 20 23 27 29 31 39 43 45 51 60 67 69 75 82 85 86 88 90 
30	17	:	6 13 17 21 24 32 40 43 44 45 53 54 65 76 88 93 99 
31	55	:	1 2 3 4 5 6 9 13 14 15 17 20 23 24 25 26 29 31 32 37 38 39 40 43 45 47 48 50 51 52 53 58 59 60 65 66 67 68 69 71 77 78 83 85 87 88 90 91 92 95 96 97 98 99 100 
32	8	:	10 12 16 29 32 39 94 100 
33	65	:	2 4 6 8 9 10 13 14 18 19 22 23 24 26 28 29 30 32 34 37 39 40 42 44 45 46 48 49 52 55 56 57 58 59 60 61 62 66 67 68 69 70 71 72 73 75 76 77 79 82 83 84 85 87 88 89 90 91 93 94 96 97 98 99 100 
34	26	:	7 9 12 15 24 27 30 31 37 39 42 44 46 50 59 61 64 66 68 74 80 82 84 85 89 95 
35	71	:	1 2 3 4 9 12 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 34 37 38 39 40 43 44 46 47 48 49 50 51 53 56 57 59 60 61 62 63 64 65 66 67 69 70 71 72 73 78 80 81 82 84 85 86 87 88 90 91 92 93 95 96 98 99 100 
36	12	:	1 5 6 20 23 29 39 43 45 67 69 85 
37	51	:	1 3 4 5 6 9 10 11 12 14 16 17 19 20 21 23 24 26 27 29 31 32 37 38 39 40 41 43 45 48 49 50 61 65 67 68 69 70 73 75 77 78 83 85 87 88 90 94 95 97 100 
38	28	:	3 4 5 6 9 20 21 22 24 36 37 40 41 42 45 49 61 66 67 73 82 83 85 89 92 93 96 97 
39	40	:	1 2 3 6 9 10 13 17 19 26 27 30 32 34 36 37 38 40 46 49 50 51 52 53 59 60 63 65 67 76 77 78 84 87 88 90 92 95 97 100 
40	37	:	2 4 7 10 11 12 15 16 17 20 23 24 30 34 35 36 40 41 42 43 48 50 54 59 60 64 65 68 72 74 81 82 89 90 91 95 98 
41	58	:	1 2 4 6 7 9 11 13 14 15 16 17 21 22 24 25 26 30 32 35 36 37 40 42 43 44 45 47 48 49 50 53 54 58 61 63 64 65 66 67 70 73 76 77 78 80 81 82 83 85 87 88 89 90 91 93 98 99 
42	74	:	1 4 5 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 28 29 30 31 33 35 36 37 38 39 40 41 42 44 45 46 47 48 49 51 56 58 61 62 63 65 66 67 68 69 70 72 74 75 76 77 78 82 83 84 85 86 87 88 89 90 91 92 93 94 95 97 98 100 
43	77	:	1 2 4 5 6 7 9 10 11 13 14 15 17 18 19 20 21 22 23 24 25 29 30 31 32 33 35 37 38 39 40 41 42 43 45 46 47 48 49 50 51 52 53 57 59 60 61 62 63 65 66 67 68 69 70 71 72 73 75 76 77 78 80 82 83 84 85 87 89 90 91 92 94 95 96 98 99 
44	14	:	3 5 6 20 21 36 40 41 67 73 92 93 96 97 
45	14	:	4 17 19 20 31 32 35 44 47 68 83 88 96 98 
46	24	:	4 9 12 14 18 22 27 29 35 36 48 49 58 60 64 67 68 70 77 80 82 85 88 98 
47	55	:	1 2 4 5 8 9 11 15 16 17 18 19 20 22 24 28 30 31 33 34 35 37 39 40 42 43 45 46 47 49 52 54 55 57 59 61 62 64 66 67 72 76 77 80 82 83 85 87 89 91 94 95 96 99 100 
48	34	:	2 10 11 14 16 21 23 26 27 30 31 39 40 41 42 43 54 56 58 60 61 63 68 69 70 75 83 85 86 90 92 93 97 98 
49	38	:	2 5 6 9 11 12 14 19 21 22 23 27 29 33 36 37 44 47 48 54 56 58 59 60 62 64 67 70 76 78 80 82 83 84 87 88 90 93 
50	61	:	2 3 5 7 9 11 13 14 15 16 17 18 19 20 24 25 27 28 30 31 32 33 34 35 38 40 41 42 43 44 46 47 48 49 50 52 55 57 59 60 61 62 64 65 67 72 73 74 76 77 80 82 85 87 89 91 94 95 96 99 100 
51	12	:	15 34 40 48 59 60 68 72 74 82 89 90 
52	56	:	2 3 7 8 9 10 11 12 13 16 17 19 21 22 25 26 27 28 30 31 32 34 35 38 40 41 43 44 49 50 51 52 55 56 57 58 61 64 65 66 67 69 70 72 73 75 79 81 82 84 85 86 96 97 99 100 
53	60	:	1 2 6 7 9 10 11 12 13 15 16 18 19 25 26 28 30 31 32 37 39 40 42 44 46 48 49 50 52 53 55 58 59 60 61 62 63 65 66 67 68 70 71 72 74 75 76 80 81 82 84 85 89 90 91 92 93 95 99 100 
54	45	:	2 9 10 13 14 18 19 23 24 26 29 39 40 41 43 45 46 47 48 49 51 56 58 60 63 65 66 68 69 71 75 80 82 83 84 85 86 89 91 92 93 94 95 97 98 
55	25	:	1 2 4 18 20 21 29 32 34 37 39 44 57 59 61 64 65 73 80 81 86 96 98 99 100 
56	54	:	1 2 3 4 9 12 14 15 16 17 19 20 22 25 27 28 29 30 31 34 39 40 42 43 47 48 49 50 54 55 56 57 58 59 60 62 63 64 65 66 67 68 69 70 71 78 80 82 85 90 93 98 99 100 
57	54	:	2 3 5 6 10 11 12 14 16 19 20 21 22 26 29 30 31 32 33 36 37 38 40 41 42 46 54 56 57 58 60 61 63 64 67 68 69 71 72 73 75 77 80 84 87 88 89 92 93 94 95 96 97 98 
58	42	:	2 3 5 6 13 17 20 21 23 24 25 31 32 36 37 38 40 41 43 44 45 48 51 53 54 60 65 66 67 71 73 76 78 85 87 88 91 92 93 96 97 99 
59	28	:	1 2 4 8 10 13 17 18 19 20 29 31 33 38 39 52 59 60 61 71 72 76 78 79 80 84 88 99 
60	37	:	6 8 9 13 17 19 21 24 28 32 34 39 40 41 42 43 44 45 49 53 54 61 62 65 67 76 77 84 87 88 91 93 94 96 97 99 100 
61	21	:	2 23 24 25 31 37 38 43 48 51 53 60 66 71 78 85 87 91 92 96 99 
62	66	:	1 2 5 6 7 9 10 11 13 14 19 22 23 24 25 26 27 29 30 31 33 34 36 37 39 40 41 42 43 48 50 51 53 54 56 57 58 60 61 63 64 65 66 68 69 70 72 74 75 76 80 81 82 83 84 85 86 87 88 89 90 91 92 93 97 98 
63	47	:	1 2 6 7 10 12 13 14 16 19 24 27 28 29 30 31 32 34 35 37 38 39 44 49 50 51 52 53 54 58 60 61 62 63 66 67 69 72 76 77 84 85 88 89 94 98 100 
64	12	:	4 8 16 35 46 47 54 55 59 64 89 96 
65	47	:	2 6 7 9 10 12 13 16 17 19 26 28 30 31 36 37 39 40 42 44 46 47 50 51 52 53 59 60 65 66 68 69 70 74 75 76 78 80 81 82 84 85 87 91 92 97 100 
66	41	:	1 4 5 6 12 13 15 16 17 19 20 21 22 23 26 27 29 30 38 39 40 43 45 46 48 49 51 62 66 67 69 70 74 77 84 85 87 88 91 95 100 
67	46	:	1 5 8 9 11 15 17 22 24 25 30 31 33 34 37 39 40 41 43 44 46 52 53 57 59 61 63 66 67 68 69 71 72 73 80 82 83 84 86 90 91 92 95 96 98 100 
68	79	:	1 3 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 27 28 29 30 31 33 34 37 38 39 40 41 42 44 45 46 47 48 49 50 51 52 53 56 57 58 60 61 62 63 65 66 67 68 69 70 71 72 74 75 76 77 78 79 80 82 84 85 87 89 91 92 95 96 97 98 99 100 
69	46	:	1 2 4 10 12 16 18 19 20 23 24 25 28 29 30 31 32 37 38 39 43 48 51 52 53 54 59 60 61 66 69 71 76 77 78 80 85 87 88 91 92 94 96 98 99 100 
70	52	:	1 4 8 11 12 13 14 15 16 21 27 35 38 39 41 42 44 46 47 48 49 53 54 55 56 58 59 60 61 63 64 65 66 67 68 71 72 77 78 80 82 84 85 87 88 89 90 91 95 96 97 100 
71	16	:	21 29 32 34 37 44 57 61 64 65 73 81 86 96 98 100 
72	41	:	1 8 9 12 14 15 18 21 26 32 33 35 36 37 39 40 41 44 47 48 49 50 53 56 58 62 63 66 70 72 76 78 80 82 84 87 90 91 93 95 97 
73	77	:	2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 49 51 52 53 54 56 57 58 59 61 64 65 66 67 68 69 71 72 73 76 79 80 82 84 88 89 91 92 93 94 95 96 97 99 100 
74	18	:	9 12 30 31 37 39 42 44 46 50 59 66 68 74 80 82 84 85 
75	17	:	6 13 17 21 24 32 40 43 44 45 53 54 65 76 88 93 99 
76	73	:	1 2 4 5 6 7 11 12 13 14 15 17 18 19 20 23 24 25 26 27 28 29 30 31 32 35 37 38 39 40 43 44 45 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 65 66 67 68 69 70 71 72 76 77 80 83 84 85 87 88 90 91 93 95 96 97 98 100 
77	30	:	5 9 11 12 15 17 30 31 33 37 39 40 42 43 44 46 50 52 57 59 61 66 68 72 74 80 82 84 85 95 
78	74	:	1 2 4 6 7 8 9 10 12 13 14 15 16 17 19 22 23 24 25 26 27 29 30 31 33 34 37 38 39 40 42 43 47 48 49 50 51 52 53 57 58 60 61 62 63 64 65 66 67 68 70 71 72 74 75 76 78 79 80 83 84 85 86 87 88 89 91 92 93 95 96 97 98 99 
79	79	:	1 2 3 4 6 7 8 10 12 13 15 16 18 19 20 21 22 23 24 25 27 28 29 30 31 32 35 37 38 39 41 42 43 44 45 46 47 49 50 51 52 53 54 55 56 57 58 59 61 62 63 64 65 66 67 68 69 70 72 73 74 76 77 80 81 82 83 84 85 86 87 89 91 92 95 96 97 99 100 
80	12	:	11 12 14 17 23 27 37 39 40 45 83 93 
81	31	:	3 4 9 17 22 24 26 32 37 38 40 42 45 49 50 61 65 66 67 77 78 82 83 85 87 88 89 90 95 97 100 
82	43	:	1 2 4 5 6 7 11 13 14 16 19 23 24 25 29 30 31 32 35 36 37 39 48 50 53 54 58 61 62 64 68 69 70 73 75 81 83 84 85 88 89 90 98 
83	44	:	6 7 10 13 14 16 18 20 24 25 26 35 36 37 40 41 42 43 46 48 50 51 53 55 57 60 61 62 65 66 72 75 80 81 82 84 85 87 89 91 95 96 97 100 
84	35	:	2 10 11 12 13 16 21 22 26 29 30 31 33 37 38 40 41 42 45 46 51 56 61 62 67 68 69 70 84 85 87 91 95 97 100 
85	66	:	1 2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22 24 26 27 28 29 31 32 36 39 41 46 47 48 52 53 54 57 58 59 60 61 62 63 64 65 66 69 70 72 73 75 76 78 80 83 84 85 86 87 88 89 92 94 95 96 98 100 
86	56	:	2 4 6 7 8 10 11 12 14 15 16 21 23 24 25 26 27 32 35 36 37 39 40 42 44 46 47 51 53 54 55 59 61 63 64 65 67 68 69 70 71 73 75 80 81 83 84 85 89 90 91 93 95 96 97 100 
87	36	:	1 2 5 7 9 10 12 16 18 19 25 26 28 30 34 35 37 38 40 42 44 52 58 61 62 67 69 76 77 87 91 93 94 96 99 100 
88	15	:	3 9 12 20 47 48 55 62 63 64 65 71 78 93 98 
89	36	:	3 6 9 11 17 20 22 25 26 27 28 29 32 36 37 38 40 42 47 50 53 61 63 65 68 75 77 78 87 88 90 95 96 97 99 100 
90	21	:	2 23 24 25 31 37 38 43 48 51 53 60 66 71 78 85 87 91 92 96 99 
91	79	:	1 3 4 6 7 8 9 10 12 13 14 15 16 17 18 19 21 23 24 25 26 28 29 30 31 32 34 35 37 38 39 40 42 44 46 48 49 50 52 53 54 56 57 58 60 61 62 63 64 65 66 67 68 69 73 74 75 76 77 78 81 82 83 84 85 86 87 88 89 90 91 92 93 95 96 97 98 99 100 
92	24	:	1 4 18 27 29 30 34 35 36 37 48 49 50 51 53 63 64 67 68 77 82 85 88 98 
93	27	:	1 3 4 6 13 16 18 19 26 28 29 37 40 42 46 49 52 54 56 62 65 74 87 88 98 99 100 
94	14	:	11 12 13 16 27 38 42 53 58 65 66 85 88 100 
95	35	:	2 6 8 10 13 17 19 21 24 27 29 30 32 39 40 42 43 44 45 52 53 54 58 60 65 68 70 71 72 76 79 88 90 93 99 
96	53	:	1 2 4 5 6 8 9 10 11 13 14 19 22 24 28 29 32 34 37 40 42 45 49 50 52 53 54 58 60 61 62 64 65 66 67 71 72 75 76 77 79 82 83 84 85 87 88 89 91 94 96 99 100 
97	53	:	1 2 4 5 6 7 8 10 13 16 21 23 24 25 29 30 31 35 37 38 42 43 45 46 47 48 49 51 52 53 54 55 59 60 61 63 64 66 67 68 71 72 73 74 76 78 85 87 89 91 92 96 99 
98	56	:	2 3 4 5 7 8 9 10 11 12 14 16 17 19 20 21 22 23 26 28 31 32 35 38 41 42 43 44 47 48 49 54 59 60 65 66 67 68 70 72 73 77 78 79 81 82 83 85 86 88 91 93 94 95 96 98 
99	68	:	1 2 4 6 10 11 12 13 14 15 16 17 19 20 23 24 25 26 27 28 29 31 32 35 36 37 38 39 43 44 46 48 49 50 51 52 53 55 56 57 58 59 60 61 62 63 66 67 68 71 72 76 77 78 80 82 84 85 87 89 90 91 92 94 95 96 99 100 
100	44	:	3 9 12 17 18 19 23 24 25 26 28 29 30 32 34 37 38 39 40 45 46 49 50 56 57 58 65 66 68 69 77 78 82 84 87 88 89 90 91 94 95 97 99 100 
101	73	:	1 2 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 22 23 24 27 28 29 30 31 32 33 35 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 54 57 58 59 60 61 62 63 66 67 68 69 70 72 75 76 78 80 82 83 84 85 88 89 90 94 95 99 100 
102	43	:	1 3 5 6 7 10 17 20 21 22 23 26 27 28 29 31 33 36 37 38 39 40 42 43 45 47 51 53 55 65 67 69 72 75 78 80 81 84 85 87 88 91 97 
