item_amount: 100
transaction: 2500
item_each_transaction: 40
min_support_ratio: 0.3
min_support: 750
confidence: 0.4
data generated: normal distribution N(50, 22.2222)


FP completed: 0h 4min 9s

count	support		item set
---------------------------------------------------------------------
1	752	:	22 
2	771	:	70 
3	805	:	98 
4	813	:	94 
5	814	:	40 
6	823	:	85 
7	827	:	57 
8	830	:	48 
9	872	:	90 
10	888	:	47 
11	890	:	92 
12	897	:	12 
13	920	:	38 
14	924	:	28 
15	947	:	14 
16	752	:	75 14 
17	955	:	13 
18	958	:	55 
19	975	:	6 
20	983	:	66 
21	752	:	78 66 
22	983	:	16 
23	995	:	59 
24	779	:	29 59 
25	1000	:	61 
26	805	:	76 61 
27	1031	:	97 
28	753	:	91 97 
29	768	:	51 97 
30	782	:	71 97 
31	1013	:	81 
32	1021	:	87 
33	1033	:	2 
34	795	:	71 2 
35	1039	:	54 
36	769	:	45 54 
37	1068	:	82 
38	768	:	84 82 
39	813	:	75 82 
40	762	:	76 82 
41	1096	:	74 
42	824	:	73 74 
43	757	:	29 74 
44	758	:	45 74 
45	1127	:	24 
46	806	:	45 24 
47	762	:	76 24 
48	845	:	71 24 
49	1146	:	72 
50	757	:	4 72 
51	784	:	68 72 
52	752	:	75 72 
53	1074	:	63 
54	761	:	56 63 
55	1115	:	79 
56	752	:	4 79 
57	754	:	62 79 
58	775	:	52 79 
59	762	:	49 79 
60	1085	:	95 
61	751	:	73 95 
62	1090	:	25 
63	814	:	33 25 
64	777	:	84 25 
65	763	:	4 25 
66	796	:	62 25 
67	787	:	51 25 
68	1104	:	44 
69	852	:	10 44 
70	752	:	45 44 
71	759	:	51 44 
72	758	:	75 44 
73	772	:	76 44 
74	828	:	71 44 
75	1107	:	17 
76	756	:	20 17 
77	789	:	62 17 
78	828	:	52 17 
79	835	:	49 17 
80	770	:	71 17 
81	1106	:	77 
82	822	:	60 77 
83	757	:	37 77 
84	778	:	73 77 
85	754	:	49 77 
86	791	:	67 77 
87	783	:	76 77 
88	811	:	71 77 
89	1113	:	1 
90	750	:	20 1 
91	750	:	5 1 
92	769	:	31 1 
93	780	:	68 1 
94	773	:	52 1 
95	810	:	49 1 
96	778	:	45 1 
97	759	:	67 1 
98	778	:	75 1 
99	753	:	76 1 
100	794	:	71 1 
101	1200	:	64 
102	750	:	60 64 
103	754	:	10 64 
104	789	:	75 64 
105	1127	:	9 
106	782	:	15 9 
107	785	:	89 9 
108	750	:	4 9 
109	766	:	68 9 
110	812	:	62 9 
111	761	:	49 9 
112	807	:	45 9 
113	752	:	67 9 
114	774	:	75 9 
115	793	:	76 9 
116	821	:	71 9 
117	1128	:	69 
118	756	:	43 69 
119	766	:	100 69 
120	758	:	84 69 
121	761	:	73 69 
122	786	:	51 69 
123	801	:	67 69 
124	779	:	75 69 
125	840	:	76 69 
126	786	:	71 69 
127	1136	:	65 
128	751	:	73 65 
129	782	:	10 65 
130	759	:	68 65 
131	844	:	52 65 
132	752	:	45 65 
133	751	:	67 65 
134	786	:	76 65 
135	863	:	71 65 
136	1156	:	21 
137	767	:	83 21 
138	771	:	29 21 
139	775	:	52 21 
140	758	:	45 21 
141	821	:	67 21 
142	779	:	76 21 
143	756	:	71 21 
144	1141	:	86 
145	772	:	26 86 
146	759	:	33 86 
147	775	:	60 86 
148	772	:	91 86 
149	774	:	37 86 
150	785	:	68 86 
151	831	:	76 86 
152	828	:	71 86 
153	1158	:	99 
154	764	:	100 99 
155	761	:	78 99 
156	756	:	33 99 
157	760	:	5 99 
158	754	:	73 99 
159	776	:	62 99 
160	761	:	29 99 
161	766	:	52 99 
162	786	:	49 99 
163	811	:	45 99 
164	821	:	51 99 
165	812	:	67 99 
166	786	:	76 99 
167	811	:	71 99 
168	1160	:	46 
169	805	:	78 46 
170	787	:	31 46 
171	770	:	73 46 
172	756	:	52 46 
173	758	:	49 46 
174	811	:	45 46 
175	784	:	67 46 
176	765	:	75 46 
177	754	:	76 46 
178	803	:	71 46 
179	1164	:	7 
180	798	:	58 7 
181	752	:	84 7 
182	784	:	4 7 
183	773	:	68 7 
184	804	:	62 7 
185	783	:	29 7 
186	790	:	52 7 
187	793	:	49 7 
188	773	:	45 7 
189	792	:	75 7 
190	782	:	76 7 
191	801	:	71 7 
192	1162	:	34 
193	779	:	4 34 
194	767	:	37 34 
195	801	:	10 34 
196	811	:	49 34 
197	776	:	45 34 
198	821	:	67 34 
199	759	:	75 34 
200	794	:	71 34 
201	1168	:	80 
202	778	:	32 80 
203	765	:	23 80 
204	794	:	5 80 
205	800	:	31 80 
206	815	:	73 80 
207	784	:	68 80 
208	754	:	62 80 
209	772	:	49 80 
210	795	:	45 80 
211	825	:	67 80 
212	798	:	76 80 
213	830	:	71 80 
214	1172	:	3 
215	784	:	27 3 
216	761	:	83 3 
