line	size		transaction item
1	18	:	4 16 27 33 35 42 46 47 60 67 71 77 81 84 86 91 97 99 
2	79	:	1 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 24 26 28 29 30 32 34 35 36 37 38 39 42 43 44 47 49 50 51 52 53 54 55 56 58 59 60 61 62 63 64 65 66 67 68 69 71 72 74 75 76 77 78 79 80 81 83 84 86 87 88 89 90 91 92 93 95 96 97 100 
3	10	:	18 22 36 41 52 55 73 79 81 93 
4	18	:	2 4 7 8 9 16 17 20 34 50 52 58 62 79 80 82 85 94 
5	48	:	1 2 4 6 7 8 9 10 12 18 20 21 23 24 25 26 31 32 34 39 43 45 49 53 56 58 63 64 67 69 71 72 73 75 76 78 80 81 82 83 84 85 87 88 89 92 95 100 
6	18	:	7 8 9 31 45 46 47 56 61 63 67 73 74 76 78 80 82 99 
7	23	:	4 8 9 10 11 12 15 20 23 25 31 33 37 46 52 53 62 65 78 79 87 89 96 
8	28	:	1 11 13 17 19 20 21 23 25 34 36 40 46 48 49 50 52 55 61 64 68 77 82 84 86 87 90 91 
9	39	:	1 2 3 4 5 13 15 16 17 18 21 24 28 29 32 34 45 48 49 50 51 52 58 62 64 65 67 70 71 75 76 83 87 91 93 94 97 99 100 
10	72	:	1 2 3 4 5 7 9 10 11 12 15 16 17 18 19 20 22 23 24 25 26 27 29 31 33 35 36 37 38 39 41 42 44 46 48 52 53 54 56 57 58 59 60 61 62 64 65 66 67 68 69 71 72 73 76 77 78 79 84 85 86 87 89 90 91 93 94 95 96 97 99 100 
11	40	:	1 3 4 6 11 18 19 22 27 28 29 30 31 33 34 37 40 41 45 47 49 53 54 56 59 63 66 69 70 73 74 78 80 85 88 89 94 98 99 100 
12	11	:	1 7 14 21 31 41 47 55 85 88 99 
13	65	:	2 3 4 6 7 9 10 11 13 14 15 16 18 20 21 23 25 27 28 29 30 31 32 33 34 36 37 38 40 44 45 46 47 49 51 53 56 58 60 62 63 66 67 68 71 73 74 76 77 78 80 81 83 84 87 88 89 91 92 93 95 96 97 98 100 
14	34	:	4 7 9 10 11 12 17 20 24 26 29 33 35 36 37 38 41 48 52 53 55 58 65 67 68 69 71 72 73 86 89 90 93 100 
15	28	:	1 11 13 17 18 20 22 23 25 36 40 41 48 49 50 52 55 61 64 68 73 79 81 82 84 87 91 93 
16	18	:	2 4 6 10 22 25 28 33 34 37 41 47 55 67 79 83 85 91 
17	48	:	2 3 6 7 10 11 13 15 16 18 19 20 21 25 27 29 30 31 32 33 43 44 45 46 50 53 56 57 58 60 62 64 66 73 74 75 76 77 81 82 84 86 88 90 92 95 98 100 
18	82	:	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37 39 41 42 44 45 46 48 49 51 52 53 57 59 60 61 62 66 68 69 70 71 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 93 94 95 96 97 98 99 100 
19	45	:	5 7 8 9 10 11 12 14 16 17 18 20 21 22 23 25 26 29 30 33 36 37 41 42 45 52 54 55 58 62 64 65 67 71 74 75 79 85 86 89 90 92 93 94 96 
20	17	:	21 29 36 42 51 55 56 57 60 67 72 74 77 83 85 88 90 
21	12	:	17 19 21 34 36 46 49 52 77 82 86 90 
22	16	:	1 6 20 25 31 49 56 63 64 67 69 72 81 84 95 100 
23	65	:	2 3 4 5 6 9 10 11 12 14 15 19 20 24 26 27 29 30 33 36 37 39 40 41 42 43 45 46 47 48 49 50 51 53 54 58 59 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 82 86 89 90 91 93 95 96 97 98 100 
24	77	:	1 2 5 6 7 8 9 10 11 12 14 15 16 18 20 22 23 24 26 27 28 29 30 31 33 35 36 37 40 41 42 43 44 47 48 49 50 51 52 53 54 55 56 57 58 59 60 62 64 65 66 67 68 69 70 71 72 73 74 76 77 78 79 81 84 85 86 88 89 93 94 95 96 97 98 99 100 
25	38	:	1 4 5 6 7 12 14 26 29 31 36 43 44 45 46 48 50 52 53 55 58 59 61 62 66 71 73 74 75 76 78 79 81 87 92 94 97 99 
26	50	:	1 5 6 7 9 14 15 19 21 24 28 30 31 32 34 36 37 38 39 40 41 42 45 46 47 49 51 52 54 55 56 60 62 63 67 71 75 77 80 81 85 87 88 89 91 93 96 97 99 100 
27	46	:	1 4 5 7 8 9 11 15 17 18 20 23 25 27 31 33 35 40 41 45 46 47 49 56 59 61 63 67 68 72 73 74 75 76 78 79 80 82 83 85 87 89 95 96 97 99 
28	32	:	2 8 9 13 15 18 19 20 28 30 32 33 35 41 42 43 45 46 50 53 56 58 59 63 69 71 72 75 78 81 92 99 
